user_id,product_name,size,review_text,review_date,size_tag,brightness_tag,color_tag,ball_of_foot_tag,comfort_tag
LV.5 레이얀,핸드볼 스페지알 - 핑크 / IF6561,230,"비운의 발볼러로써 보통 230을 많이 신고 발볼이 좁게 나온 신발은 무.적.권. 반업~1업 필수임

작년 버뮤다 핑크 재입고되었을때 고민하다 놓쳐 핑크운동화 구매는 포기상태였으나 주말에 스페지알 재고를 보고 바로 결재함
하루동안 블x그, 크x 등의 리뷰를 거의 다 읽고도 사이즈에 확신이 없었음 225와 230중 고민하다 일단 230신어보고 너무 크면 교환할 생각으로 230으로 주문함

일요일 주문 월요일 칼배송받고 신어본 결과 크게 나온 신발이긴 함
길이가 길어서 크지만 발볼에 맞춰서 신발을 선택하는 발볼러이기때문에 230으로 구매결정함

길이가 길고 폭이 좁은 디자인이라
칼발소유자들은 반사이즈나 일사이즈 다운
발볼러들은 정사이즈 가면 될듯함
본인보다 발볼이 좁다면 반다운해도될듯??

*본인스펙*
발길이 22.6(오) 22.5(왼) / 발볼 8.5(오) 8.7(왼)",2024.01.08,커요,밝아요,흐려요,좁아요,적당해요
LV.5 낙관적인라임쿠션,핸드볼 스페지알 - 핑크 / IF6561,240,진심 갸이뻐요 색감 실물이 미쳤고 스웨이드라 때타는건 어쩔수없을듯 평소 245신는데 240샀고 240도 충분히 넉넉하게 맞아요 반사이즈 다운하시길,2024.01.08,커요,보통이에요,보통이에요,보통이에요,적당해요
LV.7 수수깡수달,핸드볼 스페지알 - 핑크 / IF6561,250,다른 사이트에는 사이즈가 없어서 못 샀는데 무신사에 입고되자마자 샀어요! 치마 보다는 통넓은 바지나 스웻팬츠에 입기 좋은 것 같아요.,2024.02.10,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.8 miyashita,핸드볼 스페지알 - 핑크 / IF6561,270,제품도 아주 마음에 들고 너무 좋은 가격에 샀습니다,2024.01.05,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.4 네오이,핸드볼 스페지알 - 핑크 / IF6561,230,색감 너무 예쁘고 청바지에 입어도 예뿝니다 은근 코디하기 유용해요,2024.02.04,커요,보통이에요,선명해요,보통이에요,적당해요
LV.5 윤찬.,핸드볼 스페지알 - 핑크 / IF6561,270,남자가 신어도 전혀 부담스러운 핑크 컬러가 아닌 무난한 이쁜 핑크 컬러인 거 같아요,2024.01.26,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 17842,핸드볼 스페지알 - 핑크 / IF6561,235,아 신발 너무 마음에 들어요 실물이 깡패에요 배송도 짱,2024.02.13,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.3 지유1221,핸드볼 스페지알 - 핑크 / IF6561,225,"이거 공홈에 사이즈 다 빠지고 없어서 무신사 보니까 사이즈가 있네요! 제가 사고나니 품절... 가젤볼드 사려다가 이거 샀는데 가젤보다 더 편하고 핑크 색감 넘 예쁘게 뽑은거 같아요 ☺️🫶🏻 반스 230정도 맞게 신고 뉴발이나 이런것들은 235정도 신는데 10단위정도 줄이니 딱이에요 발볼 좁은편이고 발등 없는 사람은 10단위 줄이세요!! 굽도 적당하고 푹신하고 오자마자 담날 바로 신었어요:)
여름 빼고 데일리로 잘 신을것 같네요 담에 다른색상도 사야겠어요",2024.01.12,커요,보통이에요,선명해요,보통이에요,편안해요
LV.5 매여언,핸드볼 스페지알 - 핑크 / IF6561,240,"삼바랑 비교했을 때 같은 240인데 좀 더 커요 ㅠㅠ
그치만 교환하기 귀찮아서 꽉끈해서 신고 있습니다!
발도 편하고 색깔도 예뻐요.",2024.01.26,커요,보통이에요,보통이에요,보통이에요,적당해요
LV.8 윈터원더,핸드볼 스페지알 - 핑크 / IF6561,275,딱 예쁜 뮤트한 핑크색감의 신발입니다 흑청에 입으려고 샀어요,2024.02.26,보통이에요,보통이에요,보통이에요,좁아요,편안해요
