장소 이름,위도,경도,지번 주소,도로명 주소,시,구,동
아디다스 강남브랜드센터,37.50436612843897,127.02496033264566,서울 강남구 역삼동 808,서울 강남구 강남대로 470,서울특별시,강남구,역삼동
아디다스 브랜드 플래그십 서울,37.5625310530905,126.985168359055,서울 중구 명동2가 31-1,서울 중구 명동8길 27,서울특별시,중구,명동2가
아디다스오리지널스 명동점,37.56145690016098,126.98390885134991,서울 중구 충무로1가 22-5,서울 중구 명동8나길 20,서울특별시,중구,충무로1가
아디다스 홍대브랜드센터,37.555612223389,126.922657162196,서울 마포구 동교동 162-6,서울 마포구 양화로 148,서울특별시,마포구,동교동
아디다스오리지널스 가로수길점,37.51859155831078,127.02312690808834,서울 강남구 신사동 536-9,서울 강남구 가로수길 9,서울특별시,강남구,신사동
아디다스 광복점,35.09884278180386,129.03269418308994,부산 중구 광복동2가 20,부산 중구 광복로 69-1,부산광역시,중구,광복동2가
아디다스 신제주점,33.48646541603232,126.49023798442886,제주특별자치도 제주시 연동 273-17,제주특별자치도 제주시 신광로 63,제주특별자치도,제주시,연동
아디다스 대구동성로점,35.86732827140253,128.59540788322573,대구 중구 삼덕동1가 9-4,대구 중구 동성로1길 29-32,대구광역시,중구,삼덕동1가
아디다스 현대프리미엄아울렛송도점,37.380642539088385,126.65771795250075,인천 연수구 송도동 168-1,인천 연수구 송도국제대로 123,인천광역시,연수구,송도동
아디다스 경성대점,35.13680008082041,129.09833976102345,부산 남구 대연동 406-1,부산 남구 수영로 295,부산광역시,남구,대연동
아디다스 중랑점,37.59446218575756,127.07736830817237,서울 중랑구 중화동 207-24,서울 중랑구 망우로 221,서울특별시,중랑구,중화동
아디다스 제주점,33.514758342398004,126.52591397614117,제주특별자치도 제주시 일도일동 1300-5,제주특별자치도 제주시 중앙로7길 12,제주특별자치도,제주시,일도일동
아디다스 키카스페셜서울점,37.56542563489518,127.00909129651811,서울 중구 을지로7가 58-1,서울 중구 을지로 280-2,서울특별시,중구,을지로7가
아디다스오리지널스 충장로점,35.147834776857565,126.91715217001384,광주 동구 충장로2가 13,광주 동구 충장로 91,광주광역시,동구,충장로2가
아디다스 덕소삼패상설점,37.59393186507403,127.19112128585274,경기 남양주시 삼패동 380-2,경기 남양주시 고산로 226,경기도,남양주시,삼패동
아디다스 광주용봉점,35.181827620452054,126.89811802383318,광주 북구 용봉동 1357-2,광주 북구 설죽로 249,광주광역시,북구,용봉동
아디다스 대전점,36.329359620784636,127.42722968144956,대전 중구 은행동 13-9,대전 중구 중앙로 159,대전광역시,중구,은행동
아디다스 광주첨단점,35.21400133405305,126.8431848906857,광주 광산구 월계동 889-2,광주 광산구 첨단중앙로 96,광주광역시,광산구,월계동
아디다스 목포점,34.8025626883569,126.427339436743,전남 목포시 상동 1003-8,전남 목포시 비파로 42-1,전라남도,목포시,상동
아디다스 동부평점,37.49333605488565,126.72359309582504,인천 부평구 부평동 199-11,인천 부평구 부평문화로66번길 16,인천광역시,부평구,부평동
아디다스 천안쌍용점,36.8020334395083,127.132085900601,충남 천안시 동남구 쌍용동 553-8,충남 천안시 동남구 쌍용대로 52,충청남도,천안시 동남구,쌍용동
